date,workshop,production_line,product_type,production_equipment,production_equipment_name,production_quantity,good_quantity
2023-01-02,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,551,514
2023-01-02,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,689,631
2023-01-02,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,496,369
2023-01-02,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,773,695
2023-01-02,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,446,305
2023-01-02,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,781,707
2023-01-02,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,601,590
2023-01-02,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,504,496
2023-01-02,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,626,523
2023-01-02,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,431,431
2023-01-02,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,554,533
2023-01-02,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,709,671
2023-01-02,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,654,633
2023-01-02,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,583,477
2023-01-02,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,679,649
2023-01-02,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,431,287
2023-01-02,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,507,423
2023-01-02,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,477,364
2023-01-02,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,593,443
2023-01-02,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,694,576
2023-01-02,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,775,679
2023-01-02,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,705,666
2023-01-02,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,640,553
2023-01-02,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,439,437
2023-01-02,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,549,470
2023-01-02,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,757,755
2023-01-02,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,722,642
2023-01-02,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,647,516
2023-01-02,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,785,754
2023-01-02,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,629,623
2023-01-02,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,764,731
2023-01-02,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,583,519
2023-01-02,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,663,613
2023-01-02,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,737,707
2023-01-02,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,621,488
2023-01-02,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,680,642
2023-01-02,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,541,473
2023-01-02,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,638,602
2023-01-02,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,787,647
2023-01-02,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,672,600
2023-01-02,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,419,384
2023-01-03,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,442,372
2023-01-03,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,785,751
2023-01-03,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,562,473
2023-01-03,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,611,579
2023-01-03,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,754,683
2023-01-03,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,520,447
2023-01-03,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,594,452
2023-01-03,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,750,740
2023-01-03,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,649,634
2023-01-03,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,596,535
2023-01-03,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,733,718
2023-01-03,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,453,419
2023-01-03,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,741,717
2023-01-03,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,693,585
2023-01-03,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,444,343
2023-01-03,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,446,305
2023-01-03,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,678,593
2023-01-03,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,593,497
2023-01-03,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,611,474
2023-01-03,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,455,327
2023-01-03,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,659,602
2023-01-03,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,737,617
2023-01-03,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,682,632
2023-01-03,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,587,463
2023-01-03,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,446,351
2023-01-03,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,790,758
2023-01-03,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,628,564
2023-01-03,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,710,566
2023-01-03,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,575,430
2023-01-03,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,624,506
2023-01-03,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,519,449
2023-01-03,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,667,571
2023-01-03,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,614,494
2023-01-03,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,695,616
2023-01-03,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,570,436
2023-01-03,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,571,521
2023-01-03,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,706,629
2023-01-03,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,660,589
2023-01-03,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,712,655
2023-01-03,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,466,457
2023-01-03,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,629,628
2023-01-03,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,782,692
2023-01-03,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,472,470
2023-01-03,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,542,400
2023-01-03,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,621,561
2023-01-04,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,611,583
2023-01-04,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,549,493
2023-01-04,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,585,543
2023-01-04,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,615,535
2023-01-04,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,533,436
2023-01-04,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,658,596
2023-01-04,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,575,564
2023-01-04,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,791,642
2023-01-04,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,516,496
2023-01-04,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,580,529
2023-01-04,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,654,646
2023-01-04,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,638,630
2023-01-04,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,725,720
2023-01-04,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,626,610
2023-01-04,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,526,496
2023-01-04,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,491,356
2023-01-04,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,471,392
2023-01-04,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,575,531
2023-01-04,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,734,629
2023-01-04,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,458,426
2023-01-04,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,760,729
2023-01-04,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,637,592
2023-01-04,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,782,733
2023-01-04,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,789,669
2023-01-04,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,678,666
2023-01-04,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,785,690
2023-01-04,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,674,540
2023-01-04,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,737,667
2023-01-04,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,773,737
2023-01-04,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,457,385
2023-01-04,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,485,397
2023-01-04,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,569,425
2023-01-04,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,480,397
2023-01-04,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,425,316
2023-01-04,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,644,545
2023-01-04,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,777,720
2023-01-04,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,662,647
2023-01-04,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,473,324
2023-01-04,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,619,614
2023-01-04,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,635,614
2023-01-04,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,481,332
2023-01-04,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,577,432
2023-01-04,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,779,636
2023-01-04,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,537,440
2023-01-04,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,681,603
2023-01-05,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,412,393
2023-01-05,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,403,301
2023-01-05,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,441,354
2023-01-05,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,787,743
2023-01-05,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,448,311
2023-01-05,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,473,415
2023-01-05,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,738,589
2023-01-05,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,585,495
2023-01-05,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,657,610
2023-01-05,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,435,353
2023-01-05,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,708,640
2023-01-05,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,507,418
2023-01-05,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,683,630
2023-01-05,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,635,571
2023-01-05,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,665,574
2023-01-05,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,581,551
2023-01-05,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,685,591
2023-01-05,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,566,469
2023-01-05,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,708,586
2023-01-05,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,599,581
2023-01-05,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,441,292
2023-01-05,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,633,534
2023-01-05,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,410,388
2023-01-05,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,696,606
2023-01-05,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,701,669
2023-01-05,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,781,646
2023-01-05,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,520,411
2023-01-05,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,510,364
2023-01-05,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,446,420
2023-01-05,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,617,560
2023-01-05,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,450,409
2023-01-05,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,526,501
2023-01-05,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,793,750
2023-01-05,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,548,525
2023-01-05,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,657,567
2023-01-05,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,518,418
2023-01-05,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,591,588
2023-01-05,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,545,527
2023-01-05,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,471,438
2023-01-05,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,647,570
2023-01-05,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,793,701
2023-01-05,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,409,325
2023-01-05,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,475,403
2023-01-05,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,540,484
2023-01-05,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,433,374
2023-01-06,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,752,644
2023-01-06,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,728,582
2023-01-06,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,606,478
2023-01-06,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,417,302
2023-01-06,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,542,538
2023-01-06,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,478,375
2023-01-06,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,531,466
2023-01-06,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,670,540
2023-01-06,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,494,424
2023-01-06,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,410,403
2023-01-06,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,764,741
2023-01-06,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,602,472
2023-01-06,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,403,257
2023-01-06,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,472,463
2023-01-06,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,772,701
2023-01-06,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,427,364
2023-01-06,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,618,613
2023-01-06,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,797,753
2023-01-06,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,477,355
2023-01-06,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,477,403
2023-01-06,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,620,536
2023-01-06,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,526,488
2023-01-06,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,473,456
2023-01-06,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,606,569
2023-01-06,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,680,539
2023-01-06,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,583,484
2023-01-06,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,652,596
2023-01-06,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,576,476
2023-01-06,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,742,657
2023-01-06,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,693,598
2023-01-06,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,523,498
2023-01-06,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,731,700
2023-01-06,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,680,638
2023-01-06,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,606,456
2023-01-06,涂装车间,涂装-3,洗衣机,SN-PT3-002,喷涂流水线3号机,556,539
2023-01-06,涂装车间,涂装-3,洗衣机,SN-PT3-003,喷涂烘干炉3号机,494,354
2023-01-06,总装车间,总装-1,电视,SN-FA1-001,总装流水线1号机,630,599
2023-01-06,总装车间,总装-1,电视,SN-FA1-002,总装检测设备1号机,400,354
2023-01-06,总装车间,总装-1,电视,SN-FA1-003,总装包装机1号机,538,514
2023-01-06,总装车间,总装-2,冰箱,SN-FA2-001,总装流水线2号机,533,498
2023-01-06,总装车间,总装-2,冰箱,SN-FA2-002,总装检测设备2号机,480,330
2023-01-06,总装车间,总装-2,冰箱,SN-FA2-003,总装包装机2号机,627,572
2023-01-06,总装车间,总装-3,洗衣机,SN-FA3-001,总装流水线3号机,457,413
2023-01-06,总装车间,总装-3,洗衣机,SN-FA3-002,总装检测设备3号机,749,686
2023-01-06,总装车间,总装-3,洗衣机,SN-FA3-003,总装包装机3号机,666,594
2023-01-07,数控机械车间,数控-1,电视,SN-NC1-001,数控加工中心1号机,708,700
2023-01-07,数控机械车间,数控-1,电视,SN-NC1-002,数控车床1号机,602,599
2023-01-07,数控机械车间,数控-1,电视,SN-NC1-003,数控铣床1号机,514,411
2023-01-07,数控机械车间,数控-2,冰箱,SN-NC2-001,数控加工中心2号机,624,616
2023-01-07,数控机械车间,数控-2,冰箱,SN-NC2-002,数控车床2号机,667,657
2023-01-07,数控机械车间,数控-2,冰箱,SN-NC2-003,数控铣床2号机,502,489
2023-01-07,数控机械车间,数控-3,洗衣机,SN-NC3-001,数控加工中心3号机,536,460
2023-01-07,数控机械车间,数控-3,洗衣机,SN-NC3-002,数控车床3号机,781,741
2023-01-07,数控机械车间,数控-3,洗衣机,SN-NC3-003,数控铣床3号机,538,401
2023-01-07,装配车间,装配-1,电视,SN-AS1-001,装配流水线1号机,795,683
2023-01-07,装配车间,装配-1,电视,SN-AS1-002,装配机器人1号机,442,345
2023-01-07,装配车间,装配-1,电视,SN-AS1-003,装配检测设备1号机,800,674
2023-01-07,装配车间,装配-2,冰箱,SN-AS2-001,装配流水线2号机,529,483
2023-01-07,装配车间,装配-2,冰箱,SN-AS2-002,装配机器人2号机,730,695
2023-01-07,装配车间,装配-2,冰箱,SN-AS2-003,装配检测设备2号机,569,504
2023-01-07,装配车间,装配-3,洗衣机,SN-AS3-001,装配流水线3号机,752,664
2023-01-07,装配车间,装配-3,洗衣机,SN-AS3-002,装配机器人3号机,718,653
2023-01-07,装配车间,装配-3,洗衣机,SN-AS3-003,装配检测设备3号机,605,491
2023-01-07,焊接车间,焊接-1,电视,SN-WD1-001,焊接机器人1号机,674,652
2023-01-07,焊接车间,焊接-1,电视,SN-WD1-002,焊接转台1号机,490,437
2023-01-07,焊接车间,焊接-1,电视,SN-WD1-003,焊接检测设备1号机,570,541
2023-01-07,焊接车间,焊接-2,冰箱,SN-WD2-001,焊接机器人2号机,566,545
2023-01-07,焊接车间,焊接-2,冰箱,SN-WD2-002,焊接转台2号机,604,466
2023-01-07,焊接车间,焊接-2,冰箱,SN-WD2-003,焊接检测设备2号机,525,393
2023-01-07,焊接车间,焊接-3,洗衣机,SN-WD3-001,焊接机器人3号机,560,531
2023-01-07,焊接车间,焊接-3,洗衣机,SN-WD3-002,焊接转台3号机,760,614
2023-01-07,焊接车间,焊接-3,洗衣机,SN-WD3-003,焊接检测设备3号机,426,406
2023-01-07,涂装车间,涂装-1,电视,SN-PT1-001,喷涂机器人1号机,722,680
2023-01-07,涂装车间,涂装-1,电视,SN-PT1-002,喷涂流水线1号机,642,547
2023-01-07,涂装车间,涂装-1,电视,SN-PT1-003,喷涂烘干炉1号机,711,694
2023-01-07,涂装车间,涂装-2,冰箱,SN-PT2-001,喷涂机器人2号机,564,530
2023-01-07,涂装车间,涂装-2,冰箱,SN-PT2-002,喷涂流水线2号机,443,337
2023-01-07,涂装车间,涂装-2,冰箱,SN-PT2-003,喷涂烘干炉2号机,699,597
2023-01-07,涂装车间,涂装-3,洗衣机,SN-PT3-001,喷涂机器人3号机,681,645
