data_id,market_type,power_type,transaction_type,transaction_method,transaction_area,data_time,time_order,price_value,elec_value,data_source,create_time,update_time
18,非全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-01,18,267.32,629.72,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
19,非全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-01,19,523.59,572.94,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
20,非全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-01,20,305.06,790.78,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
21,全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省间交易,2024-01-01,21,566.76,236.48,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
22,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-01,22,521.65,509.85,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
23,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-01,23,591.07,122.63,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
24,非全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-01,24,518.95,927.63,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
25,非全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-02,1,568.43,303.7,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
26,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-02,2,294.58,277.59,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
27,全量入市,常规电量,中长期,滚动撮合,省内交易,2024-01-02,3,373.2,773.93,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
28,非全量入市,常规电量,电网代理购电,滚动撮合,省间交易,2024-01-02,4,507.96,419.89,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
29,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省间交易,2024-01-02,5,453.48,617.39,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
30,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-02,6,404.07,703.03,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
31,非全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-02,7,513.48,235.31,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
32,非全量入市,绿电电量,电网代理购电,月内集中竞价,省内交易,2024-01-02,8,443.77,136.66,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
33,全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-02,9,580.77,150.01,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
34,全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-02,10,476.91,740.49,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
35,非全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-02,11,645.86,980.58,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
36,全量入市,常规电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-02,12,510.69,139.4,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
37,非全量入市,常规电量,电网代理购电,滚动撮合,省内交易,2024-01-02,13,344.02,145.41,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
38,非全量入市,绿电电量,中长期,滚动撮合,省内交易,2024-01-02,14,752.72,302.01,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
39,非全量入市,绿电电量,中长期,月内集中竞价,省间交易,2024-01-02,15,523.26,531.73,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
40,非全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-02,16,678.26,406.46,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
41,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省内交易,2024-01-02,17,527.9,559.04,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
42,全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-02,18,427.8,765.71,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
43,非全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-02,19,419.57,605.2,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
44,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-02,20,202.4,494.31,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
45,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-02,21,668.32,574.81,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
46,非全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-02,22,234.56,726.0,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
47,非全量入市,常规电量,电网代理购电,滚动撮合,省内交易,2024-01-02,23,502.54,908.16,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
48,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-02,24,728.14,483.08,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
49,非全量入市,绿电电量,中长期,挂牌交易,省内交易,2024-01-03,1,363.11,105.83,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
50,非全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-03,2,303.39,153.84,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
51,非全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-03,3,645.54,321.94,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
52,非全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-03,4,596.61,392.54,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
53,非全量入市,常规电量,电网代理购电,滚动撮合,省内交易,2024-01-03,5,708.03,142.72,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
54,全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-03,6,349.25,709.76,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
55,非全量入市,常规电量,中长期,滚动撮合,省内交易,2024-01-03,7,564.19,322.27,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
56,非全量入市,绿电电量,中长期,双边协商(年度+月度),省间交易,2024-01-03,8,459.12,293.96,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
57,非全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-03,9,778.54,509.56,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
58,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-03,10,303.91,324.77,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
59,非全量入市,常规电量,中长期,滚动撮合,省间交易,2024-01-03,11,316.64,414.78,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
60,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-03,12,265.02,684.12,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
61,非全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-03,13,702.78,143.26,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
62,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-03,14,457.94,739.48,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
63,非全量入市,绿电电量,中长期,滚动撮合,省内交易,2024-01-03,15,417.76,543.51,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
64,非全量入市,绿电电量,中长期,挂牌交易,省间交易,2024-01-03,16,284.21,713.22,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
65,全量入市,常规电量,电网代理购电,滚动撮合,省间交易,2024-01-03,17,694.05,212.68,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
66,非全量入市,常规电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-03,18,427.2,371.23,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
67,非全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-03,19,422.32,117.75,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
68,全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-03,20,213.07,386.93,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
69,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-03,21,769.82,982.06,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
70,全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-03,22,506.39,476.42,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
71,全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-03,23,658.97,970.07,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
72,全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-03,24,346.66,513.85,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
73,非全量入市,常规电量,中长期,滚动撮合,省间交易,2024-01-04,1,205.18,397.74,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
74,非全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-04,2,340.77,243.75,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
75,全量入市,绿电电量,中长期,双边协商(年度+月度),省间交易,2024-01-04,3,221.82,140.85,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
76,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省间交易,2024-01-04,4,744.75,453.65,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
77,非全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-04,5,569.34,277.65,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
78,非全量入市,绿电电量,电网代理购电,滚动撮合,省内交易,2024-01-04,6,301.06,826.43,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
79,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-04,7,517.83,959.02,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
80,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-04,8,393.2,874.7,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
81,非全量入市,常规电量,中长期,月内集中竞价,省间交易,2024-01-04,9,790.26,578.55,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
82,全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-04,10,436.16,517.33,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
83,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-04,11,430.98,167.68,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
84,非全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-04,12,468.68,416.13,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
85,非全量入市,常规电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-04,13,722.69,952.2,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
86,全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-04,14,780.6,584.93,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
87,全量入市,绿电电量,电网代理购电,月内集中竞价,省内交易,2024-01-04,15,765.74,574.33,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
88,非全量入市,绿电电量,中长期,月内集中竞价,省间交易,2024-01-04,16,684.96,645.03,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
89,非全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-04,17,257.23,883.9,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
90,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-04,18,588.34,915.51,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
91,非全量入市,常规电量,中长期,月内集中竞价,省间交易,2024-01-04,19,683.82,819.18,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
92,非全量入市,常规电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-04,20,321.25,285.27,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
93,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-04,21,747.14,728.28,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
94,非全量入市,常规电量,中长期,集中竞价(年度+月度),省间交易,2024-01-04,22,481.04,510.43,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
95,非全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-04,23,657.7,466.48,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
96,非全量入市,绿电电量,电网代理购电,月内集中竞价,省内交易,2024-01-04,24,331.76,157.74,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
97,非全量入市,绿电电量,电网代理购电,月内集中竞价,省内交易,2024-01-05,1,592.48,608.09,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
98,非全量入市,常规电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-05,2,504.63,987.76,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
99,非全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-05,3,315.21,531.59,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
100,全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-05,4,500.62,704.11,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
101,非全量入市,绿电电量,中长期,滚动撮合,省内交易,2024-01-05,5,467.15,874.45,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
102,非全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-05,6,787.65,186.28,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
103,全量入市,常规电量,中长期,集中竞价(年度+月度),省内交易,2024-01-05,7,295.75,554.77,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
104,非全量入市,绿电电量,电网代理购电,挂牌交易,省内交易,2024-01-05,8,235.2,520.45,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
105,非全量入市,绿电电量,电网代理购电,月内集中竞价,省间交易,2024-01-05,9,583.14,396.33,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
106,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-05,10,706.28,227.93,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
107,全量入市,绿电电量,电网代理购电,挂牌交易,省间交易,2024-01-05,11,629.53,757.81,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
108,全量入市,绿电电量,电网代理购电,滚动撮合,省内交易,2024-01-05,12,223.69,377.8,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
109,非全量入市,常规电量,中长期,月内集中竞价,省间交易,2024-01-05,13,741.13,641.48,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
110,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-05,14,207.18,493.04,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
111,非全量入市,常规电量,中长期,月内集中竞价,省内交易,2024-01-05,15,712.63,839.49,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
112,非全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-05,16,350.07,457.81,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
113,全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-05,17,527.41,439.27,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
114,非全量入市,常规电量,中长期,滚动撮合,省内交易,2024-01-05,18,502.23,889.75,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
115,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省内交易,2024-01-05,19,240.41,595.29,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
116,非全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-05,20,343.01,595.5,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
117,全量入市,绿电电量,电网代理购电,月内集中竞价,省间交易,2024-01-05,21,659.3,299.53,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
118,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-05,22,769.59,262.05,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
119,非全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-05,23,292.84,105.61,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
120,全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-05,24,767.02,550.0,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
121,非全量入市,常规电量,中长期,双边协商(年度+月度),省间交易,2024-01-06,1,401.34,944.77,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
122,非全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省间交易,2024-01-06,2,697.07,339.19,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
123,非全量入市,绿电电量,中长期,挂牌交易,省间交易,2024-01-06,3,269.11,473.91,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
124,非全量入市,绿电电量,中长期,挂牌交易,省内交易,2024-01-06,4,337.32,403.47,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
125,全量入市,绿电电量,中长期,双边协商(年度+月度),省内交易,2024-01-06,5,632.47,484.58,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
126,非全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-06,6,406.16,312.21,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
127,非全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省间交易,2024-01-06,7,562.82,498.96,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
128,非全量入市,绿电电量,电网代理购电,挂牌交易,省内交易,2024-01-06,8,625.73,719.99,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
129,全量入市,常规电量,电网代理购电,双边协商(年度+月度),省内交易,2024-01-06,9,797.8,346.38,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
130,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-06,10,602.49,709.87,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
131,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-06,11,778.41,493.71,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
132,非全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-06,12,585.75,357.92,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
133,非全量入市,常规电量,中长期,挂牌交易,省内交易,2024-01-06,13,702.89,343.5,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
134,非全量入市,常规电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-06,14,733.75,843.47,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
135,全量入市,绿电电量,中长期,挂牌交易,省内交易,2024-01-06,15,564.36,321.37,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
136,非全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-06,16,683.43,640.12,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
137,全量入市,绿电电量,中长期,月内集中竞价,省间交易,2024-01-06,17,336.91,350.86,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
138,非全量入市,绿电电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-06,18,695.93,914.36,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
139,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-06,19,420.1,631.28,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
140,全量入市,绿电电量,电网代理购电,挂牌交易,省内交易,2024-01-06,20,552.83,385.48,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
141,全量入市,绿电电量,中长期,滚动撮合,省间交易,2024-01-06,21,457.32,281.99,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
142,非全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-06,22,766.48,626.3,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
143,非全量入市,常规电量,中长期,月内集中竞价,省间交易,2024-01-06,23,282.03,414.73,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
144,非全量入市,绿电电量,中长期,月内集中竞价,省间交易,2024-01-06,24,500.6,767.27,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
145,全量入市,常规电量,中长期,月内集中竞价,省间交易,2024-01-07,1,367.77,613.62,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
146,全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-07,2,245.02,880.55,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
147,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-07,3,689.43,110.97,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
148,全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省间交易,2024-01-07,4,777.5,212.94,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
149,全量入市,绿电电量,中长期,滚动撮合,省间交易,2024-01-07,5,779.66,974.91,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
150,非全量入市,常规电量,电网代理购电,滚动撮合,省间交易,2024-01-07,6,549.11,400.05,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
151,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省间交易,2024-01-07,7,205.63,740.73,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
152,非全量入市,绿电电量,中长期,滚动撮合,省内交易,2024-01-07,8,490.19,615.23,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
153,非全量入市,常规电量,中长期,双边协商(年度+月度),省内交易,2024-01-07,9,490.81,564.33,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
154,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省间交易,2024-01-07,10,336.76,946.76,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
155,非全量入市,绿电电量,电网代理购电,双边协商(年度+月度),省间交易,2024-01-07,11,258.89,325.47,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
156,非全量入市,常规电量,中长期,集中竞价(年度+月度),省内交易,2024-01-07,12,295.46,876.79,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
157,非全量入市,常规电量,中长期,集中竞价(年度+月度),省内交易,2024-01-07,13,528.47,658.21,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
158,全量入市,常规电量,电网代理购电,滚动撮合,省间交易,2024-01-07,14,357.29,167.04,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
159,非全量入市,常规电量,电网代理购电,集中竞价(年度+月度),省内交易,2024-01-07,15,522.94,358.53,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
160,非全量入市,常规电量,中长期,集中竞价(年度+月度),省内交易,2024-01-07,16,788.16,812.62,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
161,非全量入市,绿电电量,中长期,集中竞价(年度+月度),省间交易,2024-01-07,17,214.92,368.44,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
162,全量入市,绿电电量,中长期,月内集中竞价,省内交易,2024-01-07,18,304.51,147.39,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
163,全量入市,常规电量,电网代理购电,月内集中竞价,省内交易,2024-01-07,19,382.48,619.65,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
164,非全量入市,绿电电量,中长期,月内集中竞价,省间交易,2024-01-07,20,756.63,576.06,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
165,非全量入市,绿电电量,中长期,挂牌交易,省间交易,2024-01-07,21,462.15,249.75,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
166,非全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-07,22,608.17,425.47,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
167,非全量入市,常规电量,电网代理购电,挂牌交易,省内交易,2024-01-07,23,337.45,455.22,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
168,非全量入市,绿电电量,电网代理购电,滚动撮合,省内交易,2024-01-07,24,386.99,616.34,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
169,非全量入市,常规电量,电网代理购电,挂牌交易,省间交易,2024-01-08,1,664.93,872.56,电网统计,2025-04-16 13:17:01,2025-04-16 13:17:01
170,非全量入市,常规电量,电网代理购电,月内集中竞价,省间交易,2024-01-08,2,319.16,303.46,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
171,非全量入市,常规电量,中长期,挂牌交易,省间交易,2024-01-08,3,769.99,402.13,企业上报,2025-04-16 13:17:01,2025-04-16 13:17:01
